City;Couleur;Forme;State;Time;Date;Heure
Peoria County;RED ORANGE;CIGAR;IL;8/20/1983 18:00;20/8/1983;18:00
New Haven;;SPHERE;CT;8/21/1983 22:50;21/8/1983;22:50
Van Nuys;;TRIANGLE;CA;8/22/1983 22:00;22/8/1983;22:00
North Las Vegas;;DIAMOND;NV;9/1/1983 19:30;1/9/1983;19:30
Allentown;;DISK;PA;9/1/1983 20:00;1/9/1983;20:00
Boulder;;TRIANGLE;CO;9/1/1983 21:30;1/9/1983;21:30
Maroa;;DISK;IL;9/4/1983 15:10;4/9/1983;15:10
Mulberry;;LIGHT;IN;9/10/1983 19:00;10/9/1983;19:00
Plomosa Mountains;;FIREBALL;AZ;9/12/1983 21:00;12/9/1983;21:00
Ocean Isle Beach;;DISK;SC;9/13/1983 10:49;13/9/1983;10:49
Minden;;SPHERE;NV;9/15/1983 5:00;15/9/1983;5:00
Clovis;;TRIANGLE;NM;9/15/1983 21:00;15/9/1983;21:00
Stratford;;TRIANGLE;CT;9/15/1983 21:00;15/9/1983;21:00
Hamersville;RED;SPHERE;OH;9/30/1983 20:00;30/9/1983;20:00
Ayer;;VARIOUS;MA;10/1/1983 20:00;1/10/1983;20:00
Elizabeth Township;;OVAL;PA;10/1/1983 20:30;1/10/1983;20:30
Tarboro;;DISK;NC;10/1/1983 21:00;1/10/1983;21:00
California Valley;;DISK;CA;10/15/1983 0:00;15/10/1983;0:00
Crete;;TRIANGLE;NE;10/15/1983 19:00;15/10/1983;19:00
Upper Saddle River;;VARIOUS;NJ;10/21/1983 3:00;21/10/1983;3:00
California Valley;;DISK;CA;10/25/1983 2:00;25/10/1983;2:00
Orange;ORANGE;DIAMOND;MA;10/25/1983 20:55;25/10/1983;20:55
Rochester;;DIAMOND;NH;10/31/1983 19:00;31/10/1983;19:00
Citrus Heights;ORANGE;DISK;CA;11/1/1983 20:00;1/11/1983;20:00
Gibsonville;;LIGHT;NC;11/1/1983 20:00;1/11/1983;20:00
Kingston;;TRIANGLE;NY;11/1/1983 21:00;1/11/1983;21:00
Virginia Beach;;LIGHT;VA;11/15/1983 17:00;15/11/1983;17:00
Sutherland;;OTHER;NE;11/15/1983 23:30;15/11/1983;23:30
Lake Okeechoobee;;OVAL;FL;11/28/1983 23:00;28/11/1983;23:00
Madison;;VARIOUS;WI;12/1/1983 2:00;1/12/1983;2:00
Indian Springs;;VARIOUS;NV;12/3/1983 2:00;3/12/1983;2:00
Kent;;VARIOUS;WA;12/5/1983 5:00;5/12/1983;5:00
Garner;;TRIANGLE;NC;12/15/1983 1:15;15/12/1983;1:15
Charlottesville;;DISK;VA;12/31/1983 20:00;31/12/1983;20:00
Fayetteville;;FIREBALL;NC;1/3/1984 13:00;3/1/1984;13:00
St. George;;FORMATION;UT;1/8/1984 22:00;8/1/1984;22:00
Idaho;;VARIOUS;ID;1/13/1984 2:12;13/1/1984;2:12
Valier;;LIGHT;MT;1/21/1984 21:00;21/1/1984;21:00
Bozeman;;CIGAR;MT;1/23/1984 6:45;23/1/1984;6:45
Kirkland;;CIRCLE;IL;1/24/1984 0:00;24/1/1984;0:00
Rolla;YELLOW;LIGHT;MO;1/26/1984 19:30;26/1/1984;19:30
Columbia;;VARIOUS;SC;2/1/1984 21:00;1/2/1984;21:00
Marlow;;FIREBALL;NH;2/10/1984 22:00;10/2/1984;22:00
Eugene;;TRIANGLE;OR;3/1/1984 22:00;1/3/1984;22:00
Cowansville;;TRIANGLE;PA;3/14/1984 16:00;14/3/1984;16:00
Griffin;RED YELLOW;CIRCLE;GA;3/15/1984 20:00;15/3/1984;20:00
Greenville;;TRIANGLE;VA;3/15/1984 21:30;15/3/1984;21:30
Alton;;OTHER;ME;3/18/1984 2:30;18/3/1984;2:30
Newburgh;;CIRCLE;NY;3/24/1984 8:00;24/3/1984;8:00
Mettacahonts;;FORMATION;NY;3/27/1984 20:00;27/3/1984;20:00
Rosendale;;CIRCLE;NY;3/27/1984 23:00;27/3/1984;23:00
Griffin;;CIRCLE;GA;3/30/1984 13:00;30/3/1984;13:00
Arlington;;TRIANGLE;TX;4/5/1984 21:30;5/4/1984;21:30
Monahans;;VARIOUS;TX;4/11/1984 2:00;11/4/1984;2:00
Southwest City;;LIGHT;MO;4/11/1984 21:30;11/4/1984;21:30
Branford;;EGG;CT;4/15/1984 0:00;15/4/1984;0:00
Lake Worth;;DISK;FL;4/15/1984 2:00;15/4/1984;2:00
Elizabethtown;;DISK;KY;4/15/1984 15:00;15/4/1984;15:00
Yelvington;;TRIANGLE;KY;4/15/1984 21:00;15/4/1984;21:00
Magnolia;;DISK;TX;4/21/1984 22:00;21/4/1984;22:00
Auburn;;TRIANGLE;NY;4/23/1984 5:30;23/4/1984;5:30
Joliet;;CIRCLE;IL;5/1/1984 18:00;1/5/1984;18:00
Glen Rose;;TRIANGLE;AR;5/1/1984 19:00;1/5/1984;19:00
Burnsville;RED;RECTANGLE;MN;5/1/1984 20:00;1/5/1984;20:00
Proctorville;BLUE;DISK;OH;5/5/1984 12:00;5/5/1984;12:00
Cloquet;;OTHER;MN;5/5/1984 22:00;5/5/1984;22:00
Los Angeles;;DISK;CA;5/14/1984 15:00;14/5/1984;15:00
Cleveland;;OTHER;GA;5/15/1984 16:00;15/5/1984;16:00
Flower Mound;;DISK;TX;5/15/1984 18:45;15/5/1984;18:45
Winchester;;CIRCLE;VA;5/15/1984 23:00;15/5/1984;23:00
Barstow;;CIRCLE;CA;5/20/1984 21:00;20/5/1984;21:00
Marlette;;VARIOUS;MI;5/20/1984 22:30;20/5/1984;22:30
Longview;;TRIANGLE;TX;5/21/1984 21:30;21/5/1984;21:30
Huntsville;;SPHERE;AL;6/1/1984 0:00;1/6/1984;0:00
Mayfield;;DISK;KY;6/1/1984 0:00;1/6/1984;0:00
Sweetwater;;VARIOUS;TN;6/1/1984 0:00;1/6/1984;0:00
Tampa;;CYLINDER;FL;6/1/1984 2:20;1/6/1984;2:20
Colfax;;OVAL;WA;6/1/1984 12:00;1/6/1984;12:00
Orlando;;CIRCLE;FL;6/1/1984 12:00;1/6/1984;12:00
Bowling Green;;VARIOUS;KY;6/1/1984 13:00;1/6/1984;13:00
Elmendorf AFB;RED;DIAMOND;AK;6/1/1984 13:00;1/6/1984;13:00
Wakefield;;EGG;MA;6/1/1984 17:00;1/6/1984;17:00
Mobile;;SPHERE;AL;6/1/1984 17:15;1/6/1984;17:15
Sierra Vista;;TRIANGLE;AZ;6/1/1984 18:00;1/6/1984;18:00
Parker City;;FIREBALL;IN;6/1/1984 19:00;1/6/1984;19:00
Paramus;;CIGAR;NJ;6/1/1984 20:00;1/6/1984;20:00
Bandon;;RECTANGLE;OR;6/1/1984 21:00;1/6/1984;21:00
Ka'anapali;;LIGHT;HI;6/1/1984 21:00;1/6/1984;21:00
Perry;;OTHER;OH;6/1/1984 21:00;1/6/1984;21:00
Ferriday;;OTHER;LA;6/1/1984 22:00;1/6/1984;22:00
Tolland;;TRIANGLE;CT;6/1/1984 22:00;1/6/1984;22:00
Los Angeles;;CIRCLE;CA;6/1/1984 23:00;1/6/1984;23:00
Ravenna;;CIRCLE;MI;6/1/1984 23:30;1/6/1984;23:30
Clayton;;DISK;OH;6/10/1984 22:00;10/6/1984;22:00
Spalding;;LIGHT;NE;6/15/1984 0:30;15/6/1984;0:30
Burgettstown;;FIREBALL;PA;6/15/1984 1:00;15/6/1984;1:00
Ashville;;DISK;OH;6/15/1984 2:50;15/6/1984;2:50
Jacksonport;;DISK;WI;6/15/1984 3:00;15/6/1984;3:00
Methow;;OVAL;WA;6/15/1984 3:00;15/6/1984;3:00
Griffin;;VARIOUS;GA;6/15/1984 14:00;15/6/1984;14:00
Draper;;CONE;VA;6/15/1984 16:45;15/6/1984;16:45
Asheville;;CIRCLE;NC;6/15/1984 18:00;15/6/1984;18:00
Ely;;DIAMOND;MN;6/15/1984 19:00;15/6/1984;19:00
Mansfield;RED;FORMATION;OH;6/15/1984 20:00;15/6/1984;20:00
Wheeling;;VARIOUS;WY;6/15/1984 20:30;15/6/1984;20:30
Greenburg;;VARIOUS;NY;6/15/1984 21:30;15/6/1984;21:30
Grain Valley;;SPHERE;MO;6/15/1984 22:00;15/6/1984;22:00
Indjifa;;DISK;PA;6/15/1984 22:30;15/6/1984;22:30
Lorain;;CIRCLE;OH;6/17/1984 10:00;17/6/1984;10:00
Wilkes-Barre;;OTHER;PA;6/19/1984 11:00;19/6/1984;11:00
Sacramento;;CIRCLE;CA;6/20/1984 12:00;20/6/1984;12:00
Holmwood;;OVAL;LA;6/20/1984 20:20;20/6/1984;20:20
Columbia;;OVAL;SC;6/24/1984 19:00;24/6/1984;19:00
Tallahassee;;VARIOUS;FL;6/24/1984 21:00;24/6/1984;21:00
El Paso;;CIRCLE;TX;6/30/1984 0:30;30/6/1984;0:30
Adelanto;;SPHERE;CA;6/30/1984 6:40;30/6/1984;6:40
Malvern;;VARIOUS;AR;6/30/1984 8:30;30/6/1984;8:30
Atlanta;;VARIOUS;GA;6/30/1984 12:00;30/6/1984;12:00
Denton;;LIGHT;TX;6/30/1984 21:00;30/6/1984;21:00
Oakhill;;CIRCLE;TX;6/30/1984 21:30;30/6/1984;21:30
Milford;;SPHERE;CT;6/30/1984 22:00;30/6/1984;22:00
New York City;;TRIANGLE;NY;7/1/1984 21:30;1/7/1984;21:30
Peekskill;;TRIANGLE;NY;7/1/1984 22:00;1/7/1984;22:00
DeWitt;BLUE;FIREBALL;AR;7/4/1984 4:00;4/7/1984;4:00
Eatonton;;TRIANGLE;GA;7/7/1984 22:00;7/7/1984;22:00
Irvington;;CYLINDER;KY;7/8/1984 23:00;8/7/1984;23:00
Martin;;OVAL;SD;7/8/1984 23:00;8/7/1984;23:00
Blairstown;BLUE;LIGHT;MO;7/10/1984 3:30;10/7/1984;3:30
Lake Skinner;BLUE;LIGHT;CA;7/10/1984 4:00;10/7/1984;4:00
New Pine Creek;;LIGHT;CA;7/10/1984 22:30;10/7/1984;22:30
Portsmouth;;CIRCLE;VA;7/14/1984 22:00;14/7/1984;22:00
Deming area;;CYLINDER;NM;7/15/1984 2:00;15/7/1984;2:00
Brighton;;OTHER;MI;7/15/1984 23:00;15/7/1984;23:00
Knightstown;;TRIANGLE;IN;7/18/1984 1:30;18/7/1984;1:30
Millwood;;TRIANGLE;NY;7/19/1984 18:00;19/7/1984;18:00
Ossining;;OTHER;NY;7/19/1984 18:00;19/7/1984;18:00
Iowa City;;CIRCLE;IA;7/20/1984 22:00;20/7/1984;22:00
Brewster;RED;OVAL;NY;7/24/1984 22:00;24/7/1984;22:00
Perkiomenville;GREEN;DISK;PA;7/24/1984 22:00;24/7/1984;22:00
Terre Haute;;OTHER;IN;7/25/1984 4:00;25/7/1984;4:00
Watchung Mountains;;VARIOUS;NJ;7/25/1984 12:00;25/7/1984;12:00
Suffolk;ORANGE;SPHERE;VA;7/25/1984 20:00;25/7/1984;20:00
Rosebud;;OTHER;MO;7/31/1984 19:00;31/7/1984;19:00
Middlebury;;OTHER;CT;7/31/1984 22:00;31/7/1984;22:00
Sandpoint;;DISK;ID;8/1/1984 4:00;1/8/1984;4:00
Manotowish Waters;RED;LIGHT;WI;8/1/1984 23:00;1/8/1984;23:00
Caribou;;EGG;ME;8/7/1984 21:00;7/8/1984;21:00
Gaylord;;OTHER;MI;8/8/1984 23:00;8/8/1984;23:00
Bellingham;;VARIOUS;WA;8/10/1984 4:30;10/8/1984;4:30
Boalsburg;;LIGHT;PA;8/10/1984 23:00;10/8/1984;23:00
Columbus;;RECTANGLE;OH;8/12/1984 21:00;12/8/1984;21:00
Eureka;;CIRCLE;MT;8/14/1984 0:00;14/8/1984;0:00
Wabeno;;OTHER;WI;8/15/1984 0:00;15/8/1984;0:00
Beckley;;VARIOUS;WV;8/15/1984 1:00;15/8/1984;1:00
Cape Canaveral;;LIGHT;FL;8/15/1984 1:30;15/8/1984;1:30
Haddon Heights;;TRIANGLE;NJ;8/15/1984 19:30;15/8/1984;19:30
Croton-on-Hudson;;SPHERE;NY;8/15/1984 21:00;15/8/1984;21:00
South Glens Falls;;CIGAR;NY;8/15/1984 21:00;15/8/1984;21:00
Stamford;;DISK;CT;8/15/1984 21:00;15/8/1984;21:00
Brewster;;CHEVRON;NY;8/15/1984 23:00;15/8/1984;23:00
Countryside;GREEN BLUE;TRIANGLE;IL;8/18/1984 8:30;18/8/1984;8:30
Cedarburg;;RECTANGLE;WI;8/21/1984 21:30;21/8/1984;21:30
Altha;;CYLINDER;FL;8/26/1984 16:00;26/8/1984;16:00
Baltimore;;TRIANGLE;MD;9/1/1984 19:00;1/9/1984;19:00
Pacific Beach;;OVAL;CA;9/1/1984 19:00;1/9/1984;19:00
Medanales;RED;LIGHT;NM;9/1/1984 21:00;1/9/1984;21:00
River Rouge;;SPHERE;MI;9/1/1984 22:00;1/9/1984;22:00
Manor;;VARIOUS;TX;9/1/1984 23:00;1/9/1984;23:00
Osage;;SPHERE;IA;9/2/1984 8:20;2/9/1984;8:20
Plumas Eureka State Park Camp Grounds;;TRIANGLE;CA;9/3/1984 23:00;3/9/1984;23:00
Alamo Lake;;VARIOUS;AZ;9/4/1984 22:00;4/9/1984;22:00
California;;CIGAR;CA;9/9/1984 22:00;9/9/1984;22:00
Schuylkill Haven;;TRIANGLE;PA;9/15/1984 20:00;15/9/1984;20:00
Sterling;;LIGHT;AK;9/15/1984 23:00;15/9/1984;23:00
Elwood;;CHEVRON;NY;9/16/1984 15:00;16/9/1984;15:00
New York City;;TEARDROP;NY;9/20/1984 21:00;20/9/1984;21:00
Waldport;;LIGHT;OR;10/1/1984 1:00;1/10/1984;1:00
Chatsworth;;LIGHT;CA;10/1/1984 20:00;1/10/1984;20:00
Acton;RED;TRIANGLE;ME;10/1/1984 21:00;1/10/1984;21:00
Augusta;;FIREBALL;GA;10/3/1984 21:00;3/10/1984;21:00
Houston;;CIRCLE;TX;10/10/1984 5:00;10/10/1984;5:00
Traverse City;;OTHER;MI;10/10/1984 12:00;10/10/1984;12:00
White Plains;;FORMATION;NY;10/10/1984 22:00;10/10/1984;22:00
Duchenne;;DISK;UT;10/15/1984 1:00;15/10/1984;1:00
Newbury;;CIGAR;OH;10/15/1984 2:30;15/10/1984;2:30
New Castle;;OTHER;DE;10/15/1984 8:15;15/10/1984;8:15
Quincy;;VARIOUS;CA;10/15/1984 9:00;15/10/1984;9:00
Skowhegan;;DISK;ME;10/15/1984 19:00;15/10/1984;19:00
Albuquerque;;DISK;NM;10/15/1984 19:30;15/10/1984;19:30
Strafford;;CIRCLE;MO;10/15/1984 21:00;15/10/1984;21:00
Uvalde;;CIRCLE;TX;10/15/1984 22:30;15/10/1984;22:30
New Boston;;EGG;TX;10/15/1984 23:00;15/10/1984;23:00
Allendale;;LIGHT;MI;10/18/1984 22:00;18/10/1984;22:00
Middle Town;;DIAMOND;CA;10/20/1984 3:00;20/10/1984;3:00
Columbus;;LIGHT;OH;10/20/1984 5:00;20/10/1984;5:00
Honey Grove;;DISK;TX;11/1/1984 17:30;1/11/1984;17:30
Carrollton;;OTHER;GA;11/7/1984 2:30;7/11/1984;2:30
Brandon;;CYLINDER;MS;11/9/1984 4:00;9/11/1984;4:00
Edgartown;;TRIANGLE;MA;11/11/1984 23:00;11/11/1984;23:00
Alvarado;;FIREBALL;TX;11/14/1984 20:00;14/11/1984;20:00
Jasper;;VARIOUS;FL;11/15/1984 18:00;15/11/1984;18:00
North Platte;;OTHER;NE;11/15/1984 18:00;15/11/1984;18:00
Ruggles Beach;;CHEVRON;OH;11/20/1984 5:00;20/11/1984;5:00
Columbus;;CIGAR;WI;11/24/1984 13:00;24/11/1984;13:00
Williamstown;;TRIANGLE;MA;11/24/1984 19:30;24/11/1984;19:30
St. Charles;RED;VARIOUS;IL;11/26/1984 22:00;26/11/1984;22:00
Montgomery;;FIREBALL;AL;12/1/1984 18:00;1/12/1984;18:00
Emporium;;CIRCLE;PA;12/4/1984 20:00;4/12/1984;20:00
Tocca;;TRIANGLE;GA;12/24/1984 23:15;24/12/1984;23:15
Holly;;OTHER;MI;1/1/1985 1:00;1/1/1985;1:00
Largo;RED;OTHER;FL;1/1/1985 21:00;1/1/1985;21:00
Virginia Beach;RED;VARIOUS;VA;1/1/1985 22:00;1/1/1985;22:00
Caribbean Sea;;OTHER;FL;1/1/1985 23:00;1/1/1985;23:00
Wampum;;CIRCLE;PA;1/15/1985 3:00;15/1/1985;3:00
McGrady;;VARIOUS;NC;1/15/1985 20:50;15/1/1985;20:50
Sunbury;;VARIOUS;PA;1/15/1985 22:00;15/1/1985;22:00
South Gate;;CYLINDER;CA;1/15/1985 22:30;15/1/1985;22:30
Hermiston;BLUE;OTHER;OR;1/27/1985 1:30;27/1/1985;1:30
Portland;;LIGHT;OR;2/1/1985 22:30;1/2/1985;22:30
Hinesville;;SPHERE;GA;2/15/1985 0:00;15/2/1985;0:00
Malden;ORANGE;FIREBALL;MO;2/15/1985 0:00;15/2/1985;0:00
Portland;;LIGHT;OR;2/28/1985 23:00;28/2/1985;23:00
Wichita;ORANGE;TRIANGLE;KS;3/1/1985 20:30;1/3/1985;20:30
Woodbridge;;VARIOUS;VA;3/2/1985 20:15;2/3/1985;20:15
Bellefontaine;;CHEVRON;MO;3/14/1985 19:13;14/3/1985;19:13
Unadilla;;CIGAR;NE;3/15/1985 14:30;15/3/1985;14:30
Nashville;;OVAL;TN;3/26/1985 1:25;26/3/1985;1:25
New York City;;VARIOUS;NY;4/1/1985 15:00;1/4/1985;15:00
Weston;;OTHER;CT;4/1/1985 20:00;1/4/1985;20:00
Stone Ridge;;OTHER;NY;4/4/1985 20:00;4/4/1985;20:00
Chicago;;DISK;IL;4/4/1985 23:00;4/4/1985;23:00
Nova;;TRIANGLE;OH;4/15/1985 21:30;15/4/1985;21:30
Granville Summit;;DISK;PA;4/15/1985 22:00;15/4/1985;22:00
Austin;;OVAL;TX;4/19/1985 21:00;19/4/1985;21:00
Sanford;;SPHERE;NC;4/20/1985 10:00;20/4/1985;10:00
San Francisco;;CYLINDER;CA;4/27/1985 18:30;27/4/1985;18:30
Dequincy;;VARIOUS;LA;4/30/1985 11:00;30/4/1985;11:00
Harrisburg;;LIGHT;NC;5/1/1985 13:00;1/5/1985;13:00
Milwaukee;;LIGHT;WI;5/1/1985 13:00;1/5/1985;13:00
Santa Cruz;;OTHER;CA;5/1/1985 14:00;1/5/1985;14:00
North Miami;;CIRCLE;FL;5/1/1985 17:00;1/5/1985;17:00
Grand Island;;SPHERE;NE;5/1/1985 19:00;1/5/1985;19:00
Lanett;;LIGHT;AL;5/1/1985 20:30;1/5/1985;20:30
Wiseman's View;;CIRCLE;NC;5/1/1985 21:00;1/5/1985;21:00
Orlando;;TRIANGLE;FL;5/8/1985 21:30;8/5/1985;21:30
Magna;;SPHERE;UT;5/10/1985 6:00;10/5/1985;6:00
Altoona;;DISK;PA;5/12/1985 20:00;12/5/1985;20:00
Beaver Damm;;CIGAR;WI;5/15/1985 17:00;15/5/1985;17:00
Clarksburg;;CIRCLE;WV;5/15/1985 20:00;15/5/1985;20:00
Tempe;;SPHERE;AZ;5/15/1985 22:00;15/5/1985;22:00
Little Rock;;CIRCLE;AR;5/23/1985 9:00;23/5/1985;9:00
Middletown;GREEN;RECTANGLE;NY;5/30/1985 0:00;30/5/1985;0:00
California;;CIGAR;CA;6/1/1985 0:00;1/6/1985;0:00
Pensacola;;FORMATION;FL;6/1/1985 0:00;1/6/1985;0:00
Winslow;;TRIANGLE;AR;6/1/1985 12:00;1/6/1985;12:00
Prineville;;OTHER;OR;6/1/1985 13:00;1/6/1985;13:00
St. Petersburg;;TEARDROP;FL;6/1/1985 14:30;1/6/1985;14:30
Tampa;;DISK;FL;6/1/1985 17:00;1/6/1985;17:00
Forestville;;DISK;CA;6/1/1985 17:30;1/6/1985;17:30
Trenton;GREEN;OVAL;TX;6/1/1985 17:30;1/6/1985;17:30
Bemidji;;TRIANGLE;MN;6/1/1985 18:00;1/6/1985;18:00
Phoenix;;VARIOUS;AZ;6/1/1985 20:00;1/6/1985;20:00
Reno;;OTHER;NV;6/1/1985 21:00;1/6/1985;21:00
Lola;;SPHERE;KS;6/1/1985 22:00;1/6/1985;22:00
North Tonawanda;;CHEVRON;NY;6/1/1985 22:00;1/6/1985;22:00
Snohomish;;TRIANGLE;WA;6/1/1985 22:00;1/6/1985;22:00
Wilkesboro;;FIREBALL;NC;6/1/1985 22:00;1/6/1985;22:00
Stratford;;SPHERE;NJ;6/1/1985 22:40;1/6/1985;22:40
Casselberry;;OTHER;FL;6/1/1985 23:00;1/6/1985;23:00
Sebastopol;;VARIOUS;CA;6/1/1985 23:00;1/6/1985;23:00
Old Faithful;;VARIOUS;WY;6/2/1985 23:30;2/6/1985;23:30
Ft. Huachuca;;TRIANGLE;AZ;6/6/1985 20:00;6/6/1985;20:00
Tulsa;;DISK;OK;6/7/1985 16:30;7/6/1985;16:30
Gainesville;;CIGAR;FL;6/10/1985 22:10;10/6/1985;22:10
Houston;;TRIANGLE;TX;6/11/1985 22:30;11/6/1985;22:30
Coronado;;VARIOUS;CA;6/12/1985 11:00;12/6/1985;11:00
Wallingford;;RECTANGLE;CT;6/14/1985 20:00;14/6/1985;20:00
Grayridge;;VARIOUS;MO;6/15/1985 0:00;15/6/1985;0:00
Seward;;DISK;AK;6/15/1985 2:00;15/6/1985;2:00
Route 7;;RECTANGLE;NY;6/15/1985 2:30;15/6/1985;2:30
El Paso;;DISK;TX;6/15/1985 12:00;15/6/1985;12:00
Stokes;;DISK;NC;6/15/1985 14:00;15/6/1985;14:00
Kalamazoo;;VARIOUS;MI;6/15/1985 17:00;15/6/1985;17:00
Fairfax;;VARIOUS;VA;6/15/1985 18:00;15/6/1985;18:00
Panther;;OVAL;WV;6/15/1985 18:00;15/6/1985;18:00
Mohave Desert;BLUE;OVAL;CA;6/15/1985 19:00;15/6/1985;19:00
Rolla;;CIRCLE;MO;6/15/1985 20:00;15/6/1985;20:00
Waverly Hall;;DISK;GA;6/15/1985 20:00;15/6/1985;20:00
Ladson;GREEN;CIRCLE;SC;6/15/1985 21:00;15/6/1985;21:00
New York City;;OVAL;NY;6/15/1985 23:00;15/6/1985;23:00
Wichita;GREEN;CIRCLE;KS;6/15/1985 23:00;15/6/1985;23:00
Joshua Tree National Park, Twenty Nine Palms;;FORMATION;CA;6/17/1985 2:00;17/6/1985;2:00
Cottage Grove;;SPHERE;OR;6/18/1985 13:00;18/6/1985;13:00
Barboursville;;CYLINDER;WV;6/19/1985 20:30;19/6/1985;20:30
Salem;;SPHERE;NH;6/20/1985 14:00;20/6/1985;14:00
Kankakee;;CYLINDER;IL;6/20/1985 21:00;20/6/1985;21:00
Lorain;BLUE;CIRCLE;OH;6/20/1985 22:30;20/6/1985;22:30
Daisytown;;CIRCLE;PA;6/23/1985 22:00;23/6/1985;22:00
Hallandale Beach;;DISK;FL;6/30/1985 2:00;30/6/1985;2:00
Whitney;;FORMATION;TX;6/30/1985 2:30;30/6/1985;2:30
Jasper;;VARIOUS;MO;6/30/1985 12:00;30/6/1985;12:00
Big Bend National Park;;VARIOUS;TX;6/30/1985 13:00;30/6/1985;13:00
Harlan;;DISK;IN;6/30/1985 17:00;30/6/1985;17:00
Katy;;TRIANGLE;TX;6/30/1985 18:00;30/6/1985;18:00
Paterson;;DISK;NJ;6/30/1985 18:00;30/6/1985;18:00
Eustis;;LIGHT;FL;6/30/1985 18:30;30/6/1985;18:30
White Plains;;CHEVRON;NY;6/30/1985 20:00;30/6/1985;20:00
;;VARIOUS;AZ;6/30/1985 21:30;30/6/1985;21:30
Alvordon;RED;LIGHT;OH;6/30/1985 22:00;30/6/1985;22:00
San Diego;;LIGHT;CA;6/30/1985 22:45;30/6/1985;22:45
Sterling;;CIRCLE;VA;6/30/1985 23:00;30/6/1985;23:00
I don't know;ORANGE;SPHERE;MO;6/30/1985 23:30;30/6/1985;23:30
Los Alamitos;;VARIOUS;CA;7/1/1985 19:00;1/7/1985;19:00
Marysville;;VARIOUS;WA;7/1/1985 20:30;1/7/1985;20:30
Great Neck;;RECTANGLE;NY;7/1/1985 22:00;1/7/1985;22:00
Magnolia;;EGG;NJ;7/1/1985 22:00;1/7/1985;22:00
Golden Pond;;CIGAR;KY;7/4/1985 15:00;4/7/1985;15:00
Hardy;;TRIANGLE;AR;7/4/1985 21:00;4/7/1985;21:00
Peekskill;ORANGE;TRIANGLE;NY;7/5/1985 21:00;5/7/1985;21:00
Yosemite National Park;;LIGHT;CA;7/5/1985 21:30;5/7/1985;21:30
Kona;GREEN;TRIANGLE;HI;7/6/1985 4:00;6/7/1985;4:00
Presidio;;OTHER;TX;7/7/1985 21:00;7/7/1985;21:00
Eatonton;;FORMATION;GA;7/7/1985 23:00;7/7/1985;23:00
Yosemite Forest;;EGG;CA;7/7/1985 23:30;7/7/1985;23:30
Flint;;TRIANGLE;MI;7/10/1985 18:30;10/7/1985;18:30
Plant City;;TRIANGLE;FL;7/10/1985 22:00;10/7/1985;22:00
Haledon;;CHEVRON;NJ;7/13/1985 22:00;13/7/1985;22:00
Carlsbad;;LIGHT;NM;7/14/1985 23:00;14/7/1985;23:00
Greenville;;DISK;VA;7/15/1985 7:15;15/7/1985;7:15
Phoenix;;SPHERE;AZ;7/15/1985 13:00;15/7/1985;13:00
Belle Chasse;;OTHER;LA;7/15/1985 20:30;15/7/1985;20:30
Birch Bay;;DISK;WA;7/15/1985 21:00;15/7/1985;21:00
Holmdel;;VARIOUS;NJ;7/15/1985 21:30;15/7/1985;21:30
Trumbull;RED;VARIOUS;CT;7/15/1985 21:30;15/7/1985;21:30
Georgetown;;TRIANGLE;TX;7/15/1985 23:00;15/7/1985;23:00
Georgetown;GREEN;TRIANGLE;TX;7/15/1985 23:00;15/7/1985;23:00
Griffith;;OTHER;IN;7/16/1985 21:00;16/7/1985;21:00
Copalis Beach;;DISK;WA;7/19/1985 22:30;19/7/1985;22:30
Ironton;;LIGHT;MO;7/20/1985 23:00;20/7/1985;23:00
Concord;RED GREEN;OVAL;CA;7/21/1985 21:00;21/7/1985;21:00
Mercer Island;;DIAMOND;WA;7/23/1985 0:00;23/7/1985;0:00
Del Rio;;DIAMOND;TX;7/24/1985 21:00;24/7/1985;21:00
Arlington;;CIGAR;TX;7/28/1985 3:15;28/7/1985;3:15
Woodside;;CIRCLE;CA;7/30/1985 23:45;30/7/1985;23:45
San Carlos;;LIGHT;CA;7/31/1985 22:30;31/7/1985;22:30
Cimarron;;CIRCLE;NM;8/1/1985 1:00;1/8/1985;1:00
Alexandria;;TRIANGLE;MN;8/1/1985 13:00;1/8/1985;13:00
Black Diamond;;OTHER;WA;8/1/1985 20:00;1/8/1985;20:00
Wilburton;;OTHER;OK;8/1/1985 22:00;1/8/1985;22:00
Kirkland;;LIGHT;IL;8/10/1985 22:00;10/8/1985;22:00
North Tonawanda;;DISK;NY;8/12/1985 0:42;12/8/1985;0:42
Sagamore Hills;;RECTANGLE;OH;8/15/1985 2:00;15/8/1985;2:00
Arlington;;TRIANGLE;WA;8/15/1985 3:00;15/8/1985;3:00
Winnemucca;;OTHER;NV;8/15/1985 12:00;15/8/1985;12:00
Ramona;;FORMATION;CA;8/15/1985 13:00;15/8/1985;13:00
Eau Claire;;CIGAR;WI;8/15/1985 20:00;15/8/1985;20:00
South Nags Head;;TRIANGLE;NC;8/15/1985 20:00;15/8/1985;20:00
Houston;GREEN;TRIANGLE;TX;8/15/1985 21:30;15/8/1985;21:30
Garden City;;CIRCLE;SC;8/15/1985 23:00;15/8/1985;23:00
Columbia;;OTHER;AL;8/16/1985 19:00;16/8/1985;19:00
Levittown;RED;TRIANGLE;PA;8/20/1985 0:00;20/8/1985;0:00
